"","code","name","bdl67","hsl67","zdf67","ma7_13","ma7_55","hsl56","ma6_13","ma6_4_13","sp7","ma7_13","zdf78","zf78","macd6","ma6_13","ma6_55"
"1","300748.SZ","金力永磁",6.416845,921.611579326923,-2.90317167307048,61.3988306055766,40.3608811075145,467.034644230769,36.2177263573902,42.3981733941569,57.860000000596,61.3988306055766,-25.896281473813,26.0494122023424,7.31132729272601,36.2177263573902,27.307667876731
"4","603739.SH","蔚蓝生物",4.336421,509.436878992423,-29.4802172249252,27.733026474393,27.7451233167196,314.330912664546,26.8623807743227,28.1485340169475,27.2699999970198,27.733026474393,-2.51501501529636,36.1733387974453,3.62589548501813,26.8623807743227,29.1158082448103
"9","300671.SZ","富满电子",4.825688,631.846737109045,-27.8056951423786,21.2576923076923,21.3347272727273,403.535677655678,23.3484615384615,24.2792307692308,21.55,21.2576923076923,14.5533141210375,31.6042267050913,2.47905754168742,23.3484615384615,21.1123636363636
"10","300651.SZ","金陵体育",4.167045,70.8889333558488,-14.4725370498642,43.6251451611385,39.856115854142,33.6085716881477,39.3711782978039,41.0451637580029,39.2400000105185,43.6251451611385,-14.7914032830447,22.900807120006,2.2778788716996,39.3711782978039,36.8036349879787
"11","002943.SZ","宇晶股份",5.605007,480.53542,-10.241286859685,34.0230769230769,33.313117760656,218.495448,31.0889728866632,31.7088191604731,33.48,34.0230769230769,-1.55038759689923,23.1627906976744,2.13816426353302,31.0889728866632,34.8276473795389
"13","300761.SZ","立华股份",2.813321,125.658817829457,-17.9996964638033,53.395703731713,57.86864512727,233.210111434108,61.2127657199535,61.6825248449068,54.03,53.395703731713,21.2778094694809,30.3274212746485,1.95303175224766,61.2127657199535,64.141041154804
"16","603220.SH","中贝通信",3.207359,275.412277356703,-15.5917159614464,28.5415384615385,28.8722729842959,271.791451918522,27.2816484448611,27.9842984258498,28.53,28.5415384615385,-0.325497287522603,17.2875226039783,1.88428767654394,27.2816484448611,30.4353208055627
"17","002932.SZ","明德生物",2.064838,93.0703345436733,-8.37352039017186,41.9680246250319,42.6515634919055,89.8568251286308,40.6959133743716,41.3313333106901,41.7999999761581,41.9680246250319,-5.44334975689113,12.1857132676079,1.78287684526116,40.6959133743716,44.6893858131196
"18","002947.SZ","恒 铭 达",5.777928,521.435816567666,4.95049505060052,39.2863829332279,39.8328485742881,314.053576859545,37.6076205790447,39.1974670457497,42.3999999910593,39.2863829332279,5.20807376143944,18.337673823158,1.73184467587522,37.6076205790447,41.5110226717156
"19","300757.SZ","罗博特科",3.064484,125.458784615385,-9.9895757728871,33.7197368267215,36.2224531698926,161.74407,33.0053364917029,32.8435427425235,33.2,33.7197368267215,-11.1214374225527,22.8934324659232,1.65775135459472,33.0053364917029,42.023265443902
"20","603629.SH","利通电子",3.56289,188.400832,-5.21713786068202,30.8407692307692,32.3549197939395,190.114248,30.8975804707276,31.1642288155802,32.52,30.8407692307692,-3.87621131603626,15.4110659581119,1.59854574885176,30.8975804707276,36.1389195224101
"21","002905.SZ","金逸影视",5.147523,531.311248511905,-46.1884753808608,12.6160898673079,15.6823240590793,229.796834821429,20.5214185255672,21.076386390753,12.8071429982477,12.6160898673079,-15.6716419732014,15.6707399410999,1.5945317458447,20.5214185255672,15.1818243550661
"22","300653.SZ","正海生物",3.762937,67.4775993530499,-11.6770926422401,37.3728282519759,36.2495574194777,74.0558595194085,37.9928603391766,38.530492756052,39.5333333333333,37.3728282519759,8.59225828849159,10.8316949585222,1.58202069780061,37.9928603391766,36.1005057316007
"23","300033.SZ","同 花 顺",4.518921,90.8913614897278,21.3653754550017,93.344299784459,91.2358513551778,99.7519526443567,84.3489691935525,84.3344679818414,101.509999856949,93.344299784459,-8.24530818561687,18.5505697854107,1.52106283935625,84.3489691935525,94.3527143528471
"24","300695.SZ","兆丰股份",1.963906,39.5561918010277,-3.51963211885391,54.0452881925643,55.9093705517121,33.3828225714577,52.8843503249737,53.2543927602744,54.55,54.0452881925643,-3.6745406824147,13.8920134983127,1.43267781783976,52.8843503249737,59.3582804899915
"25","603709.SH","中源家居",3.106096,98.05748,-17.0023696991,30.7960990531474,33.7198579194107,155.327905,31.4662650880952,31.8029361939643,28.0199999809265,30.7960990531474,-9.49945196131486,15.6809628499964,1.36217440558374,31.4662650880952,33.6783352497262
"26","002119.SZ","康强电子",4.298697,223.062380902495,-26.9459383035591,13.2849787903412,12.3452634780743,238.768654992401,15.0700334267903,16.0608065173725,12.9049999950875,13.2849787903412,39.4025030434851,59.3495177480265,1.33477111455971,15.0700334267903,10.7356574798602
"28","300613.SZ","富 瀚 微",2.07576,39.4390204333887,-3.21157016012822,49.4529495531048,51.607576563353,78.9424465989416,52.0025504054477,52.5993926679352,50.56389022705,49.4529495531048,18.4214954848704,14.9438367720247,1.32199101999943,52.0025504054477,55.6755414496226
"30","603045.SH","福达合金",4.793178,226.850820224274,-18.03528120789,18.7838461538462,20.0659660346042,190.08509289768,18.4032726096561,18.4727395622918,19.25,18.7838461538462,-10.7046799354492,19.7955890263583,1.27138471516965,18.4032726096561,21.3014716652288
"31","300706.SZ","阿 石 创",3.975504,177.183817807125,-5.47894148590781,25.5822432478194,25.0282570231653,168.108024225785,23.9215369735561,24.3168898679234,25.3599999963575,25.5822432478194,-3.14029363831315,34.4721074247139,1.25373788468273,23.9215369735561,26.4228331936832
