"","name","bdl","zdf","zf","ma5","ma6","day","highest","lowest","hsl5","hsl6","y"
"1","平安银行",1.502673,1.73884242511479,8.83484732748111,-0.27208736011867,-0.748274247845609,-2,12.3035803941274,11.525488353392,0.479774917632746,0.652353079820023,14.9870586144314
"2","万  科Ａ",1.530009,3.68612485728839,7.73118280032515,-1.43019517276894,-1.8429986950306,0,27.2386719224576,25.2868715693835,0.313946385420976,0.402487717752221,10.835087020565
"3","国农科技",3.667456,5.18337408312959,27.3838630806846,2.20987412587412,0.373202797202797,0,23.44,20.53,1.26026040600741,1.97963234115923,-4.00943396226414
"4","世纪星源",2.170016,-8.06451612903226,14.8387096774194,-0.464363636363638,-0.485916083916083,-7,3.12,2.73,0.525853910779334,0.905324733881894,10.989010989011
"5","深振业Ａ",1.910155,1.29990713639661,6.57332282071378,-0.619009447126941,-0.613730998741301,-2,5.55978563463152,5.21229903246705,0.533738761193914,0.706415208945298,3.09859049918306
"6","全 新 好",3.172047,9.26216640502355,19.309262166405,-0.759468531468531,-0.0433286713286707,2,7.26,6.48,2.04377598762205,2.02985204263607,-1.07526881720429
"7","神州高铁",1.606037,-1.80398515638526,7.6471741113723,-0.511651563862525,-0.523066709217866,-2,3.8472932954314,3.66834942122529,0.644491298967067,0.842216053109921,0.808952449922429
"8","中国宝安",2.673669,2.14669052080578,9.6207081868323,-0.482910138110898,-0.468265940141588,-2,4.92392285328932,4.45062841376573,1.00820671406841,1.27360443873351,1.09289617591168
"9","*ST 美丽",3.530817,24.390243902439,35.8885017421603,-0.479692307692309,-0.113188811188811,2,3.8,2.85,1.15374246844442,0.934603328825071,-3.98936170212766
"10","深物业Ａ",1.932784,-2.8301886952098,6.98658765066911,-0.712211338632114,-1.00422170496538,-4,9.46245964937497,8.92449240027345,1.24804416943029,1.9066583047818,14.3652562108064
"11","南  玻Ａ",2.533077,2.4122807435814,9.16894246801228,-0.567060088512331,-0.456573745156913,-3,4.24486921170156,3.90312126669169,0.46548430173825,0.577832612674435,7.44779779479097
"12","沙河股份",2.819333,2.74464267056396,22.4346280294714,-1.39405842782385,-1.13072595285691,0,10.4248834844077,9.35362999600044,2.77867637335474,1.85756110025524,3.34285418537159
"13","深康佳Ａ",2.657015,2.3923445024407,11.6348529776859,-0.578379150566741,-0.618678465215586,-2,4.33528310010903,3.97400950843328,0.737695326800638,1.095189898431,-3.52112656931531
"14","*ST中华A",3.492883,-0.460829493087545,16.3594470046083,-0.671244755244756,-0.540433566433566,-3,4.65,4.07,1.82257964746754,1.42316499137254,6.23501199040768
"15","深粮控股",2.679834,-4.88771466040806,12.3448404882135,-0.70438467426381,-0.699404887188842,-1,7.27890372811594,6.8547941613016,1.56523182065277,2.27492906641418,-0.72046115571831
"16","深华发Ａ",2.100326,-9.01502504173622,13.4390651085142,-0.656013986013987,-1.04448951048951,-6,11.64,10.4,0.429279943154264,0.736612094866498,1.13851992409868
"17","深 科 技",4.536555,6.2340966830577,14.2735914702303,-0.625398733906146,-0.177131824346949,2,8.94122593332567,8.01252401317914,3.07998915282718,1.97037192043608,-0.993788960275876
"18","深天地Ａ",1.835668,3.03501945807825,11.329062804716,-2.06510651565973,-1.27992798175161,-2,13.4816232718393,12.7354079615899,1.21468847995593,2.11229524131344,3.13971742837973
"19","特  力Ａ",2.266747,-5.57637809628727,11.7878917627335,-1.7528836323178,-1.36807692726126,-4,21.6389646392065,19.8232469977424,1.16427944648269,1.52413800139571,-0.9981036030698
"20","飞 亚 达",1.514943,1.07067710279212,7.98104490244654,-0.793744743695926,-0.5812976203875,-1,7.7052681302539,7.24858767360582,0.593047131355632,0.793079365814497,1.90426776834349
"21","深圳能源",1.372389,-0.167224078907446,5.52225808036747,-0.188360860600211,-0.232123894064479,-2,5.01992115996409,4.75786981066743,0.157021230785573,0.308545720996724,2.3890780634598
"22","国药一致",1.914688,-8.27135450386918,14.1530097573899,-3.26412350781141,-4.00591122532401,-8,45.1164536694115,39.4335823930801,0.508302357812542,0.680358539801648,5.77507577298184
"23","富奥股份",1.490607,-4.02843642243985,8.99667190836302,-0.057621429162273,-0.294976885992951,-4,4.8647254176496,4.44047610797085,0.175310090222902,0.434158130311542,-2.04245047692743
"24","大 悦 城",1.661421,-4.92537313432836,11.4925373134328,0.335969268114662,-0.325214590109756,-5,6.65,6.09,0.579234983077966,1.32481173696326,11.9476268412439
"25","深桑达Ａ",1.793046,14.6254463624679,18.1647598045078,-0.892716691612904,-0.385277576880709,6,9.67832816065676,8.43766959137059,0.673695178529582,0.588166703596867,3.0303029977014
"26","神州数码",2.173237,-1.70013164530368,8.74050118858133,-0.946775889333409,-1.65765040163523,1,13.3664491172121,12.2467984498696,0.827938021575895,1.2290897533766,0.243700852769724
"27","中国天楹",2.719362,11.4155251141552,16.6666666666667,-0.533636363636366,-0.447146853146855,-2,4.88,4.28,0.635513325750444,0.624422740903717,18.8405797101449
"28","华联控股",1.322604,7.27272718833505,6.49165634926432,-0.0768995090588991,-0.135841932862289,1,5.43882771952909,5.00683749701441,0.539429020885743,0.838464837378135,-6.1639827916414
"29","深南电Ａ",4.246372,9.52380954377239,18.2537063887828,-1.53061032755248,-1.74350264673042,0,10.5817870346905,9.15424406680304,1.50178841608387,2.32176159643022,21.8992248491689
"30","深 大 通",4.323603,-41.6935483870968,49.2741935483871,-0.502125874125872,-3.99914685314686,-9,12.75,7.02,5.60562240319552,7.03251534939246,25.3200568990043
