"","name","code","bdl67","hsl67","zdf67","ma7","ma6","sp7","y"
"1","金力永磁","300748.SZ",6.416845,921.611579326923,-2.90317167307048,21.037949498062,8.91005848065917,57.860000000596,-25.896281473813
"2","蔚蓝生物","603739.SH",4.336421,509.436878992423,-29.4802172249252,-0.0120968423265211,-2.25342747048766,27.2699999970198,-2.51501501529636
"3","富满电子","300671.SZ",4.825688,631.846737109045,-27.8056951423786,-0.0770349650349651,2.2360979020979,21.55,14.5533141210375
"4","金陵体育","300651.SZ",4.167045,70.8889333558488,-14.4725370498642,3.76902930699652,2.56754330982518,39.2400000105185,-14.7914032830447
"5","宇晶股份","002943.SZ",5.605007,480.53542,-10.241286859685,0.709959162420873,-3.73867449287578,33.48,-1.55038759689923
"6","立华股份","300761.SZ",2.813321,125.658817829457,-17.9996964638033,-4.47294139555703,-2.92827543485047,54.03,21.2778094694809
"7","中贝通信","603220.SH",3.207359,275.412277356703,-15.5917159614464,-0.330734522757439,-3.15367236070163,28.53,-0.325497287522603
"8","明德生物","002932.SZ",2.064838,93.0703345436733,-8.37352039017186,-0.683538866873604,-3.99347243874797,41.7999999761581,-5.44334975689113
"9","恒 铭 达","002947.SZ",5.777928,521.435816567666,4.95049505060052,-0.546465641060152,-3.90340209267085,42.3999999910593,5.20807376143944
"10","罗博特科","300757.SZ",3.064484,125.458784615385,-9.9895757728871,-2.50271634317106,-9.01792895219906,33.2,-11.1214374225527
"11","利通电子","603629.SH",3.56289,188.400832,-5.21713786068202,-1.51415056317028,-5.2413390516825,32.52,-3.87621131603626
"12","金逸影视","002905.SZ",5.147523,531.311248511905,-46.1884753808608,-3.06623419177143,5.33959417050104,12.8071429982477,-15.6716419732014
"13","正海生物","300653.SZ",3.762937,67.4775993530499,-11.6770926422401,1.1232708324982,1.89235460757592,39.5333333333333,8.59225828849159
"14","同 花 顺","300033.SZ",4.518921,90.8913614897278,21.3653754550017,2.10844842928117,-10.0037451592946,101.509999856949,-8.24530818561687
"15","兆丰股份","300695.SZ",1.963906,39.5561918010277,-3.51963211885391,-1.86408235914775,-6.47393016501782,54.55,-3.6745406824147
"16","中源家居","603709.SH",3.106096,98.05748,-17.0023696991,-2.92375886626333,-2.21207016163098,28.0199999809265,-9.49945196131486
"17","康强电子","002119.SZ",4.298697,223.062380902495,-26.9459383035591,0.939715312266907,4.33437594693014,12.9049999950875,39.4025030434851
"18","富 瀚 微","300613.SZ",2.07576,39.4390204333887,-3.21157016012822,-2.15462701024826,-3.67299104417494,50.56389022705,18.4214954848704
"19","福达合金","603045.SH",4.793178,226.850820224274,-18.03528120789,-1.28211988075805,-2.89819905557263,19.25,-10.7046799354492
"20","阿 石 创","300706.SZ",3.975504,177.183817807125,-5.47894148590781,0.553986224654089,-2.5012962201272,25.3599999963575,-3.14029363831315
"21","北矿科技","600980.SH",5.451803,287.249978779301,-5.50755939852899,2.78484537908573,2.92279869731777,17.4999999889685,-21.1517164523912
"22","中国软件","600536.SH",2.521695,96.0499106056873,-4.67419635051417,-0.866319436322428,2.64801926513327,54.8600000059709,-12.1760208824781
"23","湘邮科技","600476.SH",3.859627,205.849711305644,-10.5769230769231,0.566825174825173,2.93434965034965,18.6,-3.57954545454547
"24","江 化 微","603078.SH",3.622313,116.052130863632,-13.3974579122121,0.511516619926951,0.820590497911667,19.3923087771595,12.0819397927144
"25","精研科技","300709.SZ",2.375853,20.6653321871372,3.50427353751781,1.79275913482428,-0.581540164357072,37.2615398117777,5.26534859756465
"26","闻泰科技","600745.SH",3.751713,33.8024244482865,-0.0278164116829016,0.375314685314677,-0.8636923076923,35.94,21.3425647200482
"27","新兴装备","002933.SZ",2.235522,118.959345826235,-4.18365159897015,-0.12318675791807,-5.53323640311834,44.66,5.74074074074074
"28","新农股份","002942.SZ",3.609428,176.867793333333,-8.71341048332198,-0.964693379266329,-2.81195096854472,26.82,-3.25670498084292
"29","长飞光纤","601869.SH",2.206517,92.9390645345967,1.00316789862722,-1.61950243314457,-6.07926513151404,38.26,-6.28187919463088
"30","隆利科技","300752.SZ",3.175138,123.705750111476,-9.25457521027796,-2.20855152630815,-4.70206301664791,30.495000006333,-3.01612064416359
"31","东晶电子","002199.SZ",6.924098,176.220437442928,-10.3614457831325,0.257706293706294,0.421944055944055,14.88,-4.44900752908967
"32","铭普光磁","002902.SZ",7.080674,538.204430300934,28.4791634538513,5.37475326604449,-0.775497607320499,27.8499999980132,9.08067542281583
"33","永新光学","603297.SH",2.9224,89.6944285714286,-6.62862316696823,-1.50007969785121,-5.476471548041,33.98,13.2052455016773
"34","诚迈科技","300598.SZ",3.888392,226.878360284528,-11.609558159101,-0.798021262837487,0.201338006441222,24.1292316575869,18.2160803994256
"35","好 利 来","002729.SZ",2.415839,20.018401319736,-7.08084644326391,0.595729291463897,1.84739181663,34.2500000143051,11.03610211702
"36","旭升股份","603305.SH",2.447637,75.3311966021371,-0.366151342554921,-0.784152086365591,-5.57059695677418,24.49,7.61187787536595
"37","威 派 格","603956.SH",3.87079,267.428372550539,-20.2950379959659,-2.44245354689058,-5.01280588998137,17.8300000014901,-13.2682366444703
"38","西藏珠峰","600338.SH",5.792537,23.3092470920757,-34.7604328307237,-2.04772934565614,4.11856187376529,18.09,-23.4553775743707
"39","浙江鼎力","603338.SH",2.888132,8.39838706209525,18.1249999911098,2.07909717451636,-4.21273698800804,41.8500000173774,8.72172720678228
"40","三祥新材","603663.SH",3.518846,234.865998744374,-17.0400843001464,0.40982357746263,-0.341932273588432,14.0700099922931,0.361010569868347
